has_certification,gender,study_field,height_cm,weight_kg,10th_mark,12th_mark,ug_score,interests,daily_studing_time,prefer_to_study_in,salary_expectation,do_you_like_your_degree,willingness_to_pursue_a_career_based_on_their_degree,social_medai_video,travelling_time,stress_level,financial_status,part_time_job
No,Male,BCA,100.0,58.0,79.0,65.0,80.0,Video Games,0 - 30 minute,Morning,40000.0,No,50.0,1.30 - 2 hour,30 - 60 minutes,bad,bad,No
No,Female,BCA,90.0,40.0,70.0,80.0,70.0,Cinema,30 - 60 minute,Morning,15000.0,Yes,75.0,1 - 1.30 hour,0 - 30 minutes,bad,bad,No
Yes,Male,BCA,159.0,78.0,69.5,61.0,55.0,Cinema,1 - 2 Hour,Anytime,13000.0,Yes,50.0,More than 2 hour,30 - 60 minutes,awful,bad,No
Yes,Female,BCA,147.0,60.0,70.0,59.0,58.0,Reading books,1 - 2 Hour,Anytime,1500000.0,No,50.0,1.30 - 2 hour,0 - 30 minutes,bad,good,No
No,Male,BCA,170.0,54.0,40.0,65.0,30.0,Video Games,30 - 60 minute,Morning,50000.0,Yes,25.0,1.30 - 2 hour,30 - 60 minutes,good,good,No
Yes,Female,BCA,139.0,33.0,90.0,75.0,70.0,Cinema,30 - 60 minute,Night,20000.0,Yes,50.0,30 - 60 Minute,0 - 30 minutes,bad,good,No
Yes,Male,BCA,165.0,50.0,70.0,63.0,3.0,Reading books,1 - 2 Hour,Morning,15000.0,Yes,75.0,1 - 1.30 hour,1 - 1.30 hour,good,good,No
No,Male,BCA,152.0,43.0,61.6,61.67,75.0,Sports,1 - 2 Hour,Morning,25000.0,Yes,50.0,1 - 1.30 hour,1 - 1.30 hour,good,good,No
No,Male,BCA,190.0,85.0,88.2,67.5,60.0,Video Games,0 - 30 minute,Morning,20000.0,Yes,75.0,1.30 - 2 hour,1 - 1.30 hour,bad,bad,No
No,Male,BCA,150.0,84.0,60.0,65.0,70.0,Video Games,0 - 30 minute,Anytime,20000.0,Yes,75.0,30 - 60 Minute,30 - 60 minutes,good,good,No
No,Male,BCA,99.0,50.0,75.0,70.0,60.0,Video Games,1 - 2 Hour,Morning,18000.0,Yes,75.0,1 - 1.30 hour,0 - 30 minutes,good,bad,No
No,Female,BCA,152.0,51.0,60.0,55.0,65.0,Cinema,2 - 3 hour,Night,20000.0,Yes,75.0,1 - 1.30 hour,2 - 2.30 hour,bad,bad,No
Yes,Female,BCA,158.0,64.0,59.0,54.0,80.0,Reading books,30 - 60 minute,Morning,18000.0,Yes,75.0,1 - 30 Minute,30 - 60 minutes,bad,good,No
No,Male,BCA,160.0,52.0,50.0,55.0,50.0,Cinema,0 - 30 minute,Anytime,17.0,Yes,75.0,30 - 60 Minute,1.30 - 2 hour,good,awful,No
Yes,Male,BCA,160.0,83.0,89.5,69.7,70.0,Cinema,30 - 60 minute,Anytime,60000.0,Yes,75.0,1 - 30 Minute,30 - 60 minutes,good,good,No
Yes,Male,BCA,156.0,68.0,54.0,48.0,60.0,Video Games,30 - 60 minute,Anytime,18000.0,Yes,75.0,1 - 1.30 hour,more than 3 hour,good,bad,No
Yes,Male,BCA,153.0,52.0,83.0,76.0,75.0,Sports,1 - 2 Hour,Anytime,15000.0,Yes,75.0,1.30 - 2 hour,30 - 60 minutes,good,good,Yes
Yes,Male,BCA,162.0,60.0,62.0,61.3,53.0,Cinema,0 - 30 minute,Night,20000.0,Yes,100.0,1 - 1.30 hour,1 - 1.30 hour,bad,bad,No
No,Male,BCA,150.0,60.0,60.0,65.0,60.0,Cinema,0 - 30 minute,Anytime,30000.0,Yes,100.0,1 - 30 Minute,1 - 1.30 hour,bad,bad,No
Yes,Female,BCA,109.0,42.0,60.0,70.0,88.0,Cinema,30 - 60 minute,Anytime,20000.0,Yes,100.0,1 - 30 Minute,30 - 60 minutes,good,good,No
Yes,Male,BCA,160.0,50.0,65.0,65.0,50.0,Sports,30 - 60 minute,Anytime,10000.0,Yes,75.0,30 - 60 Minute,1 - 1.30 hour,bad,bad,Yes
No,Male,BCA,154.0,51.0,65.0,70.0,50.0,Cinema,1 - 2 Hour,Morning,20000.0,Yes,50.0,1 - 30 Minute,1 - 1.30 hour,good,bad,No
No,Female,BCA,142.0,42.0,78.0,60.0,60.0,Cinema,1 - 2 Hour,Anytime,25000.0,Yes,75.0,1 - 1.30 hour,1 - 1.30 hour,bad,good,No
No,Male,BCA,180.0,90.0,75.0,73.8,65.0,Video Games,1 - 2 Hour,Morning,18000.0,Yes,50.0,1 - 1.30 hour,30 - 60 minutes,good,good,No
No,Male,BCA,167.0,85.0,75.0,60.0,80.0,Cinema,0 - 30 minute,Anytime,20000.0,Yes,50.0,1.30 - 2 hour,2 - 2.30 hour,awful,good,No
No,Male,BCA,90.0,89.0,60.0,50.0,50.0,Sports,30 - 60 minute,Morning,18000.0,Yes,75.0,30 - 60 Minute,30 - 60 minutes,bad,good,Yes
Yes,Male,BCA,175.0,73.0,90.0,90.0,80.0,Cinema,1 - 2 Hour,Anytime,30000.0,Yes,50.0,0 Minute,1 - 1.30 hour,good,bad,No
No,Male,BCA,151.0,69.0,73.0,85.0,55.0,Sports,0 - 30 minute,Morning,15000.0,Yes,100.0,1 - 1.30 hour,30 - 60 minutes,good,good,No
No,Female,BCA,145.0,39.0,89.0,77.0,65.0,Sports,30 - 60 minute,Night,20000.0,Yes,100.0,0 Minute,1 - 1.30 hour,awful,bad,Yes
No,Female,BCA,99.0,40.0,94.0,94.0,80.0,Reading books,30 - 60 minute,Night,15000.0,Yes,75.0,1 - 1.30 hour,30 - 60 minutes,good,bad,No
No,Male,BCA,151.0,52.0,60.0,65.0,65.0,Sports,0 - 30 minute,Morning,30000.0,Yes,75.0,30 - 60 Minute,1.30 - 2 hour,good,good,No
No,Male,BCA,158.0,63.0,78.0,60.0,75.0,Sports,30 - 60 minute,Anytime,30000.0,Yes,100.0,30 - 60 Minute,2.30 - 3 hour,good,bad,No
Yes,Male,BCA,160.0,60.0,69.0,60.0,50.0,Sports,0 - 30 minute,Anytime,20000.0,Yes,75.0,1 - 30 Minute,1.30 - 2 hour,good,awful,No
No,Male,BCA,163.0,55.0,85.6,70.0,65.0,Cinema,1 - 2 Hour,Anytime,15000.0,Yes,75.0,1 - 1.30 hour,0 - 30 minutes,awful,bad,No
Yes,Male,BCA,160.0,70.0,65.0,60.0,65.0,Video Games,30 - 60 minute,Anytime,17000.0,Yes,75.0,30 - 60 Minute,30 - 60 minutes,bad,good,No
No,Male,BCA,144.0,50.0,70.0,60.0,60.0,Sports,0 - 30 minute,Morning,15000.0,Yes,50.0,1 - 1.30 hour,1.30 - 2 hour,bad,bad,No
No,Female,BCA,155.0,48.0,85.0,80.0,80.0,Sports,2 - 3 hour,Anytime,15000.0,Yes,100.0,1 - 1.30 hour,1 - 1.30 hour,good,good,No
No,Female,BCA,150.0,45.0,90.0,90.0,90.0,Cinema,0 - 30 minute,Night,25000.0,Yes,100.0,1 - 1.30 hour,0 - 30 minutes,awful,good,No
Yes,Male,BCA,185.0,72.0,79.0,65.0,75.0,Video Games,30 - 60 minute,Morning,40000.0,Yes,75.0,More than 2 hour,30 - 60 minutes,good,bad,No
No,Male,BCA,165.0,50.0,77.0,87.0,60.0,Video Games,30 - 60 minute,Anytime,10000.0,No,25.0,30 - 60 Minute,1 - 1.30 hour,bad,bad,No
No,Female,BCA,175.0,43.0,54.0,51.0,66.0,Sports,30 - 60 minute,Morning,50000.0,Yes,50.0,1 - 30 Minute,1 - 1.30 hour,bad,good,No
No,Female,BCA,98.0,35.0,70.0,55.0,70.0,Reading books,1 - 2 Hour,Night,20000.0,Yes,75.0,1.30 - 2 hour,30 - 60 minutes,good,good,No
No,Female,Commerce,159.0,95.0,72.0,80.0,79.0,Cinema,0 - 30 minute,Anytime,10000.0,Yes,50.0,More than 2 hour,0 - 30 minutes,good,good,No
No,Male,Commerce,160.0,70.0,70.0,70.0,70.0,Cinema,3 - 4 hour,Anytime,20000.0,Yes,100.0,1 - 30 Minute,0 - 30 minutes,good,good,Yes
Yes,Male,Commerce,160.0,65.0,70.0,75.0,70.0,Sports,0 - 30 minute,Anytime,20000.0,Yes,75.0,1 - 1.30 hour,30 - 60 minutes,good,good,Yes
Yes,Female,B.com Accounting and Finance ,154.0,45.0,64.0,88.0,70.0,Sports,1 - 2 Hour,Morning,10000.0,Yes,25.0,1 - 1.30 hour,0 - 30 minutes,bad,good,No
No,Male,B.com Accounting and Finance ,160.0,80.0,75.0,75.0,75.0,Sports,30 - 60 minute,Anytime,30000.0,Yes,75.0,More than 2 hour,1.30 - 2 hour,good,good,No
No,Male,B.com Accounting and Finance ,90.0,83.0,60.0,82.0,65.0,Video Games,0 - 30 minute,Anytime,100000.0,Yes,75.0,30 - 60 Minute,1.30 - 2 hour,awful,good,No
Yes,Male,B.com Accounting and Finance ,156.0,70.0,66.0,65.0,60.0,Reading books,1 - 2 Hour,Morning,20000.0,Yes,50.0,30 - 60 Minute,30 - 60 minutes,good,good,No
No,Male,B.com Accounting and Finance ,155.0,55.0,73.0,72.0,1.0,Reading books,1 - 2 Hour,Night,15000.0,Yes,75.0,1 - 30 Minute,30 - 60 minutes,good,good,No
Yes,Male,B.com Accounting and Finance ,153.0,56.0,62.0,53.0,80.0,Sports,1 - 2 Hour,Morning,50000.0,Yes,75.0,30 - 60 Minute,2 - 2.30 hour,awful,awful,Yes
Yes,Female,B.com Accounting and Finance ,157.0,53.0,85.0,88.0,89.0,Sports,1 - 2 Hour,Anytime,8000.0,Yes,100.0,0 Minute,1 - 1.30 hour,bad,bad,No
No,Male,B.com Accounting and Finance ,170.0,65.0,70.0,80.0,75.0,Reading books,More Than 4 hour,Anytime,15000.0,Yes,100.0,1.30 - 2 hour,30 - 60 minutes,bad,good,No
Yes,Female,Commerce,159.0,67.0,98.0,80.0,85.0,Reading books,1 - 2 Hour,Anytime,15000.0,Yes,100.0,1.30 - 2 hour,more than 3 hour,good,bad,No
Yes,Female,Commerce,180.0,43.0,86.0,78.0,85.0,Reading books,1 - 2 Hour,Anytime,10000.0,Yes,75.0,1.30 - 2 hour,30 - 60 minutes,bad,good,No
No,Male,Commerce,100.0,47.0,87.0,84.0,92.0,Sports,30 - 60 minute,Morning,20000.0,Yes,75.0,1 - 1.30 hour,30 - 60 minutes,good,bad,No
Yes,Female,Commerce,156.0,52.0,82.0,70.0,80.0,Reading books,2 - 3 hour,Morning,15000.0,Yes,100.0,1 - 30 Minute,0 - 30 minutes,good,bad,Yes
Yes,Female,Commerce,167.0,62.0,80.0,60.0,60.0,Sports,1 - 2 Hour,Morning,18000.0,Yes,75.0,1 - 1.30 hour,1 - 1.30 hour,good,good,No
Yes,Female,Commerce,152.0,60.0,93.6,85.0,93.0,Sports,1 - 2 Hour,Anytime,20000.0,Yes,100.0,1 - 30 Minute,0 - 30 minutes,good,good,No
Yes,Male,B.com Accounting and Finance ,152.0,50.0,90.0,80.0,95.0,Sports,3 - 4 hour,Anytime,50000.0,Yes,75.0,1 - 1.30 hour,30 - 60 minutes,bad,bad,Yes
Yes,Female,Commerce,146.0,61.0,88.0,81.0,80.0,Cinema,30 - 60 minute,Morning,15000.0,Yes,75.0,1 - 30 Minute,30 - 60 minutes,good,good,No
Yes,Female,Commerce,156.0,42.0,87.0,78.0,84.0,Cinema,30 - 60 minute,Morning,15000.0,Yes,75.0,30 - 60 Minute,30 - 60 minutes,good,good,No
Yes,Male,Commerce,190.0,90.0,70.0,70.0,90.0,Cinema,More Than 4 hour,Anytime,15000.0,Yes,100.0,More than 2 hour,30 - 60 minutes,awful,bad,Yes
Yes,Male,BCA,155.0,89.0,89.0,69.0,80.0,Sports,30 - 60 minute,Anytime,20000.0,No,25.0,More than 2 hour,30 - 60 minutes,bad,awful,Yes
Yes,Male,BCA,160.0,55.0,70.0,60.0,70.0,Video Games,0 - 30 minute,Anytime,20000.0,Yes,50.0,More than 2 hour,30 - 60 minutes,bad,good,No
Yes,Male,BCA,153.0,75.0,95.0,90.0,90.0,Cinema,1 - 2 Hour,Morning,25000.0,Yes,75.0,More than 2 hour,1.30 - 2 hour,good,good,Yes
Yes,Female,BCA,160.0,42.0,80.0,75.0,75.0,Reading books,2 - 3 hour,Morning,20000.0,Yes,75.0,1 - 30 Minute,1 - 1.30 hour,good,good,No
Yes,Male,BCA,100.0,93.0,90.0,62.0,79.0,Reading books,30 - 60 minute,Night,18000.0,Yes,75.0,30 - 60 Minute,30 - 60 minutes,bad,bad,No
Yes,Male,BCA,157.0,58.0,84.0,65.0,85.0,Cinema,1 - 2 Hour,Night,50000.0,Yes,75.0,30 - 60 Minute,2 - 2.30 hour,good,good,No
Yes,Male,BCA,162.0,73.0,50.0,50.0,60.0,Reading books,30 - 60 minute,Night,10000.0,Yes,75.0,1 - 30 Minute,1 - 1.30 hour,bad,good,No
Yes,Male,BCA,99.0,78.0,91.0,60.0,60.0,Sports,30 - 60 minute,Anytime,15000.0,Yes,25.0,1.30 - 2 hour,0 - 30 minutes,bad,bad,Yes
No,Female,BCA,162.0,60.0,84.0,64.0,75.0,Sports,2 - 3 hour,Anytime,20000.0,Yes,50.0,1 - 1.30 hour,30 - 60 minutes,bad,good,No
No,Female,BCA,160.0,35.0,87.0,75.0,89.0,Cinema,0 - 30 minute,Anytime,10000.0,No,25.0,1 - 30 Minute,1 - 1.30 hour,good,bad,No
